Title,Type,APIs to Link,High Priority,Pain Score,Customer Pain Category,Tickets,Words,Has Code,File Path
How to: Show Various Notifications to Multiple Users,how_to,14,8,2.01,Custom View Items & Editors,869,280,True,event-planning-and-notifications\how-to-show-various-notifications-for-multiple-users.md
Add a Parametrized Action,tutorial,10,8,2.01,Custom View Items & Editors,869,376,True,getting-started\in-depth-tutorial-blazor\add-actions-menu-commands\add-a-parametrized-action.md
How to: Access Nested List View or Master Detail View Environment (ASP.NET Core Blazor and Windows Forms),how_to,9,8,2.01,Custom View Items & Editors,869,502,True,ui-construction\ways-to-access-ui-elements-and-their-controls\how-to-access-master-detail-view-and-nested-list-view-environment.md
Non-Persistent Objects,general,12,6,2.01,Custom View Items & Editors,869,1543,True,business-model-design-orm\non-persistent-objects.md
How to Add an Unbound Control (Button) to the Form Layout in an XAF View (with a Fully Custom ViewItem),how_to,9,8,2.01,Custom View Items & Editors,869,490,True,ui-construction\view-items-and-property-editors\add-a-button-to-a-detail-view-using-custom-view-item.md
Customize Application UI and Behavior,tutorial,8,8,2.01,Custom View Items & Editors,869,584,True,getting-started\basic-tutorial-blazor\customize-the-application-ui-and-behavior-blazor.md
"Determine Why an Action, Controller or Editor is Inactive",general,12,5,2.01,Custom View Items & Editors,869,1477,True,ui-construction\controllers-and-actions\determine-why-an-action-controller-or-editor-is-inactive.md
How to: Create and Show a Detail View of the Selected Object in a Popup Window (ASP.NET Core Blazor),how_to,11,7,2.01,Custom View Items & Editors,869,222,True,ui-construction\views\ways-to-show-a-view\how-to-create-and-show-a-detail-view-of-the-selected-object-in-a-popup-window.md
How to: Display a Non-Persistent Object's Detail View,how_to,12,7,2.01,Custom View Items & Editors,869,436,True,business-model-design-orm\non-persistent-objects\how-to-display-a-non-persistent-objects-detail-view-from-the-navigation.md
Define the Scope of Controllers and Actions,general,10,6,2.01,Custom View Items & Editors,869,902,True,ui-construction\controllers-and-actions\define-the-scope-of-controllers-and-actions.md
How To: Create a Custom Blazor Application Template,how_to,11,6,2.01,Custom View Items & Editors,869,366,True,ui-construction\templates\in-blazor\custom-blazor-application-template.md
How to: Implement Cascading Filtering for Lookup List Views,how_to,9,6,2.01,Custom View Items & Editors,869,1049,True,filtering\in-list-view\how-to-implement-cascading-filtering-for-lookup-list-views.md
