category,feature,matched_tickets,sample_titles
AI,AI,0,
Application Model,Application Model,1049,"Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Cannot open Model Editor (model.xafml) – ""Cannot create an application instance, !ModuleHelper.IsDesignMode"" error; Saving theme preference"
Application Model,"Cache (ModelAssembly, EnableModelCache)",2,An item with the same key has already been added; Model.DesignedDiffs.xafml will not open after updating to v23.1 and verson 24.1 
Application Model,Default and Custom Attributes to Customize Model,2498,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups
Application Model,Model Difference Storages,169,Saving theme preference; using forced skin for all users; Problem with solution XAF - How to Save and Share Custom View Settings in WebForms
Application Model,Model Editor,832,"Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Cannot open Model Editor (model.xafml) – ""Cannot create an application instance, !ModuleHelper.IsDesignMode"" error"
Application Model,"Read, Customize, or Extend the Application Model",2127,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); How to create a Elsa Workflow service that can use ObjectSpaces
Audit Trail Module,Audit Trail Module,93,Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; Save AuditTrail in a separate Session or ObjectSpace?; Assistance Needed to Investigate Anomalous Audit Records
Audit Trail Module,Audit History in the UI,11,View AuditTrail changes with MiddleTier in a popup; Suggestion: Update AuditedObjectWeakReference.GetAuditTrail method to look for multiple AuditedObjectWeakReference instances with the same type / key; SplitQuery not work with postgres.
Audit Trail Module,Audit in Non-XAF Apps,72,How to create a Elsa Workflow service that can use ObjectSpaces; NonPersistent Detail View not showing PersistentObject list in lookup; Question on WPF - XAF - Integration
Audit Trail Module,Custom Operations and Other Storage Classes,641,XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Label and Status within Scheduler Event; using forced skin for all users
Audit Trail Module,"Performance, Purge History, Lightweight Mode",207,OnModelCreating Repeated Execution; XtraReports Expression Editor: Severe performance degradation with types containing many members (4000+) - path depth limitation needed; Re: How to check if a new password matches any of previously used passwords
Business/Data Model Design,Business Model Design,794,"Insert Dashboard Item in Detail View related to this record; Cannot open Model Editor (model.xafml) – ""Cannot create an application instance, !ModuleHelper.IsDesignMode"" error; Saving theme preference"
Business/Data Model Design,"Aliased, Calculated, and Custom Fields/Metadata",429,Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; Invalid datasource after export and import of a report; XPO Generating nvarchar(4000) Parameter for nvarchar(100) Column Causing Index Seek Issue
Business/Data Model Design,Custom Implementations of Default XAF BCL Entities,1140,XAF Blazor - Localize the application name in the unsaved changes confirmation; XPO Generating nvarchar(4000) Parameter for nvarchar(100) Column Causing Index Seek Issue; Override the Administrator access in navigation
Business/Data Model Design,"DateTime Properties (UTC, conversion)",90,Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; Object properties operands that are passed to ICustomFunctionOperatorConvertibleToExpression.Convert only provide the ID.; Unsorted property-edited data in  alistview - DevExpress 24.2.8
Business/Data Model Design,Issues with Non-Unique Key Values,632,Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; Object properties operands that are passed to ICustomFunctionOperatorConvertibleToExpression.Convert only provide the ID.; Another fix related to localization
Business/Data Model Design,"Legacy DB Mapping (SQL View, Composite Key)",637,WinForms XAF: N+1 SQL Queries in ListView.DataViewMode when AppearanceRule.Criteria references non-visible property; XPO Generating nvarchar(4000) Parameter for nvarchar(100) Column Causing Index Seek Issue; ListView for XAF - The filter area is rendered incorrectly in the Fluent theme
Business/Data Model Design,Non-Persistent Objects,746,How to create a Elsa Workflow service that can use ObjectSpaces; Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; XAF : Example of updating a persistent list based on selection from another persistent list
Business/Data Model Design,ORM Data Model Wizard/Designer,2667,XAF Blazor - Dashboard Menu Parameters checkbox missing; Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core)
Business/Data Model Design,ORM Database Schema Migrations,846,How to create a Elsa Workflow service that can use ObjectSpaces; Re: How to customizely handle object deletion in XAF Web Blazor application using Entity Framework?; XPO Generating nvarchar(4000) Parameter for nvarchar(100) Column Causing Index Seek Issue
Business/Data Model Design,Property Changed Event,753,Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); using forced skin for all users; Problem with solution XAF - How to Save and Share Custom View Settings in WebForms
Business/Data Model Design,Relationships (Associations),6,XAF joining tables; Displaying a list of boolean values; Disable Audit Trail for certain Many  to Many associations
Business/Data Model Design,Sequential Numbers (Auto-Increment),15,XAF Blazor version update error from 24.2.3 to 25.2.3; How to create a System ObjectSpace (Non-Secured) inside an EF Core SaveChangesInterceptor in a Multi-tenant application.; Blazor Combox doesn't filter negative numbers
Business/Data Model Design,XPO IList Associations (ManyToManyAliasAttribute),42,XAF joining tables; Web API OData deep update: IDeltaSet branch in XpoDeltaBase.TrySetPropertyValue seems unreachable for collections; XAF - WebApi (XPCollection with relationship Associations do not appear in the JSON results)
Chart Module,Chart Module,32,Insert Dashboard Item in Detail View related to this record; XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Concern Regarding Removal of Quick PivotChart Module in v25.2.4
Chart Module,Chart Customization in Code,225,Insert Dashboard Item in Detail View related to this record; XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Field Spacing in a blazor layout
Chart Module,Chart Customization in Wizard,14,"XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Xaf Model Editor not opening; XPO Designer Wizard: Manual relationships lost on update & VS Crash (""Object reference"") when updating multiple tables"
Clone Object Module,Clone Object Module,843,Insert Dashboard Item in Detail View related to this record; How to create a Elsa Workflow service that can use ObjectSpaces; Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?
Clone Object Module,Cloner Customization,0,
Code Analysis (Roslyn Analyzers),Code Analysis (Roslyn Analyzers),69,Project converter error 25.2.4; PostgreSqlConnectionProvider.GlobalUseLegacyGuidSupport ; Scheduler appointment wrongly converting UTC to Mountain Standard Time
Code Analysis (Roslyn Analyzers),False-Positive Diagnostics,16,System Threading Task prevent project converter Upgrade; How to make a field a long text area; Only show button of PropertyEditor when field has content
Conditional Appearance Module,Conditional Appearance Module,108,Show DetailView from MessageOptions.OkDelegate; using forced skin for all users; Set border style for DxDataList/DxTreeListEditor row
Conditional Appearance Module,Custom Appearance on Events,444,Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Saving theme preference
Conditional Appearance Module,Custom UI Elements,147,Another fix related to localization; Xtrareport Datasource assign bug; ASP.NET WEB FORM - Apply CustomCSSClassName for static text but not working
Conditional Appearance Module,Skin-Aware Colors,11,"Easy way to persist selected skin to login form on Win XAF like the Blazor XAF ?; Custom Two-Step Login (Keyword Verification) before Standard Authentication in XAF ; How do I access and adjust the Runtime version (bottom ui) of these ""Print Options"" settings  in XAF Print Preview?"
"Controllers, Actions, Frame Templates (Form Templates)",Action and Container Controls,231,Application error when create a detail view; ASPxRatingControl Validation; XAF Blazor - How to align a search box to the right
