doc_id,title,section_id,matched,is_api,kept,concepts,platforms,apis,h_path,snippet
data/raw_md/articles/backend-web-api-service/manage-blob-data-through-web-api-controller-endpoint,Manage BLOB Data Through a Web API Controller Endpoint,manage-blob-data-through-web-api-controller-endpoint::9,lockout,False,True,"Blazor, Business Object, Web API Service",,,,"User"",""IsActive"":true,""ChangePasswordOnFirstLogon"":false,""AccessFailedCount"":0,""LockoutEnd"":""0001-01-01T00:00:00Z"",""Photo"":{""ID"":""5e52c21a-d52a-4c21-782b-08dd8f10e015"",""MediaDataKey"":""b056c67159a44a20bb859d0df9877fcb"",""M"
data/raw_md/articles/localization/how-to-localize-xaf-application-items-using-xaf-tools,How to: Localize XAF Application Items Using XAF Tools,how-to-localize-xaf-application-items-using-xaf-tools::3,failed login,False,True,".NET Runtime, Application Model, Blazor, Detail View, Model Editor, View Types, Views, WinForms, Windows, XAF Application",,,,"on how to localize Log On and Cancel Action captions. To access the message for failed login attempts, use the the Localization | Exceptions | UserVisibleExceptions | Security node. In an ASP.NET Core Blazor application,"
data/raw_md/articles/security-considerations/general-security-considerations,General Security Considerations,general-security-considerations::6,"lockout, brute force, brute force, failed login, isecurityuserlockout",False,True,".NET Runtime, Blazor, Web API Service, WinForms",,,,"a by guessing user passwords multiple times. You can implement the ISecurityUserLockout interface in your application user class, and configure the maximum number of failed login attempts in settings."
data/raw_md/articles/data-security-and-safety/security-system/authentication,User Logon and Authentication,authentication::3,"lockout, brute force, brute force, isecurityuserlockout",False,True,"Authentication, Security System",,,,"[!TIP]To protect your applications from brute force attacks, XAF includes user lockout functionality. For more information, refer to the following topic: @DevExpress.ExpressApp.Security.ISecurityUserLockout."
data/raw_md/articles/data-security-and-safety/security-system/security-object-model/implement-custom-security-objects/implement-a-custom-security-system-user-based-on-an-existing-business-class,Implement a Custom Security System User Based on an Existing Business Class,implement-a-custom-security-system-user-based-on-an-existing-business-class::27,"lockout, isecurityuserlockout",False,True,Business Object,,,,Implement the @DevExpress.ExpressApp.Security.ISecurityUserLockout interface to support the user lockout feature (the ability to lock out users who fail to enter the correct password several times in a row).
data/raw_md/articles/data-security-and-safety/security-system/security-object-model/implement-custom-security-objects/implement-a-custom-security-system-user-based-on-an-existing-business-class,Implement a Custom Security System User Based on an Existing Business Class,implement-a-custom-security-system-user-based-on-an-existing-business-class::37,lockout,False,True,"Authentication, Blazor, Business Object",,,,"In the application builder code, set the LockoutOptions.Enabled property to . File: MySolution.Blazor.Server\Startup.cs, MySolution.Win\Startup.cs"
data/raw_md/articles/data-security-and-safety/security-system/security-object-model/implement-custom-security-objects/implement-a-security-system-user-based-on-xaf-business-classes,Implement a Security System User (ApplicationUser) Based on XAF Business Classes,implement-a-security-system-user-based-on-xaf-business-classes::2,"lockout, isecurityuserlockout",False,True,"Authentication, Entity Framework Core, Security System, Template Kit, Windows, XPO",,,,"SecurityUserLoginInfo interfaces. Additionally, if you want to support the user lockout feature (the capability to lock out users who fail to enter the correct password several times in a row), implement the @DevExpress."
data/raw_md/articles/data-security-and-safety/security-system/security-object-model/implement-custom-security-objects/implement-a-security-system-user-based-on-xaf-business-classes,Implement a Security System User (ApplicationUser) Based on XAF Business Classes,implement-a-security-system-user-based-on-xaf-business-classes::4,lockout,False,True,"Business Logic, Criteria, Security System, Template Kit, XPO",,,,tiple authentication methods with a user and the  interface to support the user lockout feature. You can use the following code as a reference implementation (Template Kit generates equivalent code).
data/raw_md/apidoc/DevExpress.ExpressApp.Security/ISecurityUserLockout/ISecurityUserLockout,EF Core,ISecurityUserLockout::1,"lockout, brute force, brute force, isecurityuserlockout",True,True,"Entity Framework Core, Security System, Template Kit",,,,uid: DevExpress.ExpressApp.Security.ISecurityUserLockoutname: ISecurityUserLockouttype: Interfacesummary: Returns and stores information about user lockout.syntax:content: public interface ISecurityUserLockoutseealso: li
data/raw_md/apidoc/DevExpress.ExpressApp.Security/ISecurityUserLockout/ISecurityUserLockout,EF Core,ISecurityUserLockout::3,lockout,True,True,".NET Runtime, Blazor, Entity Framework Core, WinForms, Windows, XPO",,,,"ore Blazor) or YourApplicationName.Win\Startup.cs file (Windows Forms), set the LockoutOptions.Enabled property to :"
data/raw_md/apidoc/DevExpress.ExpressApp.Security/LockoutOptions/Enabled,Enabled,Enabled::1,lockout,True,True,,,,,"By default, user lockout is disabled."
data/raw_md/apidoc/DevExpress.ExpressApp.Security/LockoutOptions/LockoutOptions,LockoutOptions,LockoutOptions::1,lockout,True,False,,,,,uid: DevExpress.ExpressApp.Security.LockoutOptionsname: LockoutOptionstype: Classsummary: Contains options that you can use to configure user lockout.syntax:content: public class LockoutOptionsseealso: linkId: DevExpress
data/raw_md/apidoc/DevExpress.ExpressApp.Security/UserManager/#ctor,#ctor,#ctor::1,lockout,True,True,,,,,"ress.ExpressApp.Security.IPrincipalProvider,DevExpress.ExpressApp.Security.IUserLockout,Microsoft.Extensions.Options.IOptions{DevExpress.ExpressApp.Security.SecurityOptions})name: UserManager(IServiceProvider, IPrincipal"
data/raw_md/apidoc/DevExpress.ExpressApp.Security/UserManager/AccessFailed,C#,AccessFailed::1,"lockout, brute force, brute force, failed login, isecurityuserlockout",True,True,Authentication,,,,on user object.seealso: linkId: DevExpress.ExpressApp.Security.UserManager.ResetLockout(System.Object)altText: ResetLockout linkId: DevExpress.ExpressApp.Security.UserManager.AccessFailed(System.Object)altText: AccessFai
data/raw_md/apidoc/DevExpress.ExpressApp.Security/UserManager/IsLockedOut,IsLockedOut,IsLockedOut::1,"lockout, brute force, brute force",True,True,,,,,is locked out.seealso: linkId: DevExpress.ExpressApp.Security.UserManager.ResetLockout(System.Object)altText: ResetLockout linkId: DevExpress.ExpressApp.Security.UserManager.AccessFailed(System.Object)altText: AccessFai
