ticket_id,title,status,type,feedback,is_fixed,created,urls,matched_doc_ids,num_matched_docs
T1320997,Queryable Mode - invalid and outdated info,Closed,InvalidInfo,Negative,True,2026-02-03T16:01:15.19,"['https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.Blazor.Editors.DxTreeListEditor', 'https://docs.devexpress.com/eXpressAppFramework/113683/ui-construction/views/list-view-data-access-modes']","['data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/TreeListBandColumnModels', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/TreeListModel', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/Dispose', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/TreeListCommandActionColumnModels', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/ColumnContextMenuModel', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/TreeListCommandColumnModel', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/RowContextMenuInstance', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/DxTreeListEditor', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/TreeListComponentCaptured', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/TreeListDataColumnModels', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/#ctor', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/TreeListSelectionColumnModel', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/Columns', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/ColumnContextMenuInstance', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/TreeListInstance', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/RowContextMenuModel', 'data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/LoadChildrenOnDemand']",17
T1320904,TreeList - Drag information is not recalculated when the Handled property is set to true,Active,InsuffInfo,Negative,False,2026-02-03T01:58:48.473,['https://docs.devexpress.com/WindowsForms/118656/common-features/behaviors/drag-and-drop-behavior'],[],0
T1320766,Add a New .NET XAF Module to an XAF Application | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,Active,NewFeatureIssue,Negative,False,2026-02-01T21:58:59.067,['https://docs.devexpress.com/eXpressAppFramework/403415/migration-to-net/add-new-net-core-xaf-module'],[],0
T1319820,Mail Merge - missing crucial XAF Blazor details,Closed,InsuffInfo,Negative,True,2026-01-21T15:24:27.97,"['https://docs.devexpress.com/OfficeFileAPI/DevExpress.XtraRichEdit.RichEditDocumentServer', 'https://docs.devexpress.com/Blazor/403862/components/rich-edit/mail-merge#step-1-specify-a-data-source', 'https://docs.devexpress.com/Blazor/DevExpress.Blazor.RichEdit.DxRichEdit', 'https://docs.devexpress.com/Blazor/403862/components/rich-edit/mail-merge']",[],0
T1319293,Incorrect info about Standalone Model Editor in Blazor,Closed,InvalidInfo,Negative,True,2026-01-16T05:36:34.65,"['https://docs.devexpress.com/eXpressAppFramework/113583/business-model-design-orm/types-info-subsystem/use-metadata-to-customize-business-classes-dynamically', 'https://docs.devexpress.com/eXpressAppFramework/113649/business-model-design-orm/types-info-subsystem/allow-an-administrator-to-create-custom-persistent-fields-in-an-xpo-based-application']",[],0
T1318737,How to: Choose the Optimal Query Splitting Behavior in Entity Framework Core | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,Closed,UnusableFeedback,PositiveWithConcerns,False,2026-01-12T22:23:43.467,['https://docs.devexpress.com/eXpressAppFramework/404862/business-model-design-orm/business-model-design-with-entity-framework-core/performance/how-to-choose-optimal-query-splitting-behavior'],[],0
T1318183,XPO Extensions for ASP.NET Core Dependency Injection | XPO (.NET ORM Library) | DevExpress Documentation,Closed,UnusableFeedback,Negative,False,2026-01-06T11:38:43.17,['https://docs.devexpress.com/XPO/403009/connect-to-a-data-store/xpo-extensions-for-aspnet-core-di?utm_source=SupportCenter&utm_medium=website&utm_campaign=docs-feedback&utm_content=T1054062'],[],0
T1317879,You have a new 'GitHub Examples  User Feedback' response.,Closed,PositiveFeedback,Positive,True,2025-12-30T12:01:09.927,[],[],0
T1317180,How to: Perform CRUD Operations with Non-Persistent Objects | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,Closed,InsuffCode,PositiveWithConcerns,True,2025-12-18T22:04:37.47,['https://docs.devexpress.com/eXpressAppFramework/115672/business-model-design-orm/non-persistent-objects/how-to-perform-crud-operations-with-non-persistent-objects'],[],0
T1317104,"When is the function ""UpdateDatabaseAfterUpdateSchema"" invoked",Closed,InsuffInfo,Negative,True,2025-12-18T10:57:32.413,"['https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.XafApplication.DatabaseVersionMismatch', 'https://docs.devexpress.com/eXpressAppFramework/112795/deployment/production-database-and-application-updates/update-application-and-database-versions-using-the-module-info-table#update-database-when-debugging']",['data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/DatabaseVersionMismatch1130178'],1
T1317092,Add and Replace Icons | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,Archived,InsuffInfo,PositiveWithConcerns,False,2025-12-18T10:34:38.183,"['https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.Blazor.BlazorApplication.IconType', 'https://docs.devexpress.com/eXpressAppFramework/112792/app-shell-and-base-infrastructure/icons/add-and-replace-icons']",['data/raw_md/apidoc/DevExpress.ExpressApp.Blazor/BlazorApplication/IconType'],1
T1316089,"Incorrect code for the ""Type Properties in XPO"" help topic",Closed,InvalidCode,Negative,True,2025-12-08T16:53:43.23,"['https://docs.devexpress.com/XPO/DevExpress.Xpo.Metadata.ValueConverter', 'https://docs.devexpress.com/CoreLibraries/4928/devexpress-data-library/criteria-language-syntax', 'https://docs.devexpress.com/XPO/2053/create-a-data-model/value-converters', 'https://docs.devexpress.com/eXpressAppFramework/113580/business-model-design-orm/data-types-supported-by-built-in-editors/type-properties/type-properties-in-xpo?v=25.2', 'https://docs.devexpress.com/eXpressAppFramework/113580/business-model-design-orm/data-types-support']",[],0
T1315984,'Update Database Schema and Migrations in EF Core' has invalid info about Automatic Updates,Closed,InvalidInfo,Negative,True,2025-12-08T13:31:35.51,[],[],0
T1315692,ObjectCaptionFormatAttribute Class - old info was lost,Archived,InsuffInfo,Negative,False,2025-12-04T14:10:47.83,"['https://docs.devexpress.com/eXpressAppFramework/DevExpress.Persistent.Base.ObjectCaptionFormatAttribute', 'https://docs.devexpress.com/eXpressAppFramework/112752/getting-started/in-depth-tutorial-winforms-webforms/ui-customization/format-a-business-object-caption?v=22.1', 'https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.Model.IModelClass.ObjectCaptionFormat']","['data/raw_md/apidoc/DevExpress.Persistent.Base/ObjectCaptionFormatAttribute/ObjectCaptionFormatAttribute', 'data/raw_md/apidoc/DevExpress.Persistent.Base/ObjectCaptionFormatAttribute/FormatString1131059', 'data/raw_md/apidoc/DevExpress.Persistent.Base/ObjectCaptionFormatAttribute/#ctor1131058', 'data/raw_md/apidoc/DevExpress.ExpressApp.Model/IModelClass/ObjectCaptionFormat1133130']",4
T1315302,Need to rewrite code in the TreeList - Flat data source help topic,Closed,InsuffCode,Negative,True,2025-12-01T13:25:21.99,[],[],0
T1314402,Missing one step of the process - Implement a Property Editor Based on a Custom Component (Blazor),Archived,InsuffInfo,Negative,False,2025-11-21T09:04:58.73,[],[],0
T1314393,You have a new 'GitHub Examples  User Feedback' response.,Closed,UnusableFeedback,Negative,False,2025-11-21T08:27:26.263,[],[],0
T1314388,You have a new 'GitHub Examples  User Feedback' response.,Closed,UnusableFeedback,Positive,False,2025-11-21T08:27:24.393,[],[],0
T1314301,Detrimental information - Calculate a Property Value Based on Values from a Detail Collection,Closed,HardToUnderstand,Negative,True,2025-11-20T14:46:31.407,"['https://docs.devexpress.com/XPO/DevExpress.Xpo.FetchOnlyAttribute', 'https://docs.devexpress.com/eXpressAppFramework/113179/business-model-design-orm/business-model-design-with-xpo/calculate-a-property-value-based-on-values-from-a-detail-collection', 'https://docs.devexpress.com/XPO/DevExpress.Xpo.PersistentAliasAttribute', 'https://docs.devexpress.com/eXpressAppFramework/113179/business-model-design-orm/business-model-design-with-xpo/calculate-a-property-value-based-on-values-from-a-detail-collection#store-calculated-property-values-in-the-database']",[],0
T1313736,Incorrect class name for TagBoxListPropertyEditor,Closed,InvalidInfo,Negative,True,2025-11-14T07:33:49.507,"['https://docs.devexpress.com/eXpressAppFramework/113568/business-model-design-orm/data-types-supported-by-built-in-editors/collection-properties', 'https://docs.devexpress.com/eXpressAppFramework/113568/business-model-design-orm/data-types-supported-by-built-in-editors/collection-properties#tagboxlistpropertyeditor']",[],0
