doc_id,title,section_id,matched,is_api,kept,concepts,platforms,apis,h_path,snippet
data/raw_md/articles/security-considerations/general-security-considerations,General Security Considerations,general-security-considerations::19,"CollectionDataSource, ViewDataSource",False,True,,,,,"n effect if you use XAF’s built-in data sources powered by our  implementation: CollectionDataSource, ViewDataSource, and Object Data Source."
data/raw_md/articles/validation/validate-report-parameters,Validate Report Parameters,validate-report-parameters::2,IReportDataV2,False,True,"Application Model, Model Editor, Report Parameters, Reports, Reports V2",,,,o validate these parameters. Implement a  class descendant and set the report's IReportDataV2.ParametersObjectType property to your custom type. See the following help topic for details: Data Filtering in Reports V2. App
data/raw_md/articles/ui-construction/controllers-and-actions/built-in-controllers-and-actions/built-in-controllers-and-actions-in-extra-modules,Built-in Controllers and Actions in Extra Modules,built-in-controllers-and-actions-in-extra-modules::54,IReportDataV2,False,True,,,,,scendant. Activated in List Views that display @DevExpress.ExpressApp.ReportsV2.IReportDataV2 objects. Contains platform-specific code that allows users to edit a report in XAF ASP.NET Core Blazor applications.
data/raw_md/articles/ui-construction/controllers-and-actions/built-in-controllers-and-actions/built-in-controllers-and-actions-in-extra-modules,Built-in Controllers and Actions in Extra Modules,built-in-controllers-and-actions-in-extra-modules::57,IReportDataV2,False,True,,,,,scendant. Activated in List Views that display @DevExpress.ExpressApp.ReportsV2.IReportDataV2 objects. Implements the ExecuteReport Action.
data/raw_md/articles/shape-export-print-data/reports/create-and-view-reports-in-a-blazor-application,Create and View Reports in an ASP.NET Core Blazor Application,create-and-view-reports-in-a-blazor-application::4,"CollectionDataSource, ViewDataSource",False,True,Reports,,,,"rt Designer, you cannot create reports that use ViewDataSource. New reports use CollectionDataSource."
data/raw_md/articles/shape-export-print-data/reports/create-predefined-static-reports,Create Predefined Static Reports,create-predefined-static-reports::1,"XtraReport, CollectionDataSource, PredefinedReportsUpdater",False,True,Reports,,,,This topic describes how to create an XtraReport at Design Time and then register it. An XAF application displays registered reports in the Reports List View. These predefined reports cannot be modified by a user. Howeve
data/raw_md/articles/shape-export-print-data/reports/create-predefined-static-reports,Create Predefined Static Reports,create-predefined-static-reports::2,"XtraReport, PredefinedReportsUpdater",False,True,Reports,,,,orts in a Multi-Tenant Application. Run the application. Note that the designed XtraReport is available in the Reports List View. A user can double-click a report to preview it in a Print Preview Form. ASP.NET Core Blazo
data/raw_md/articles/shape-export-print-data/reports/data-sorting-in-reports-v2,Data Sorting in Reports V2,data-sorting-in-reports-v2::1,XtraReport,False,True,,,,,The following data sorting approaches are available in Reports V2. Use XtraReports sorting. Use the CollectionSourceBase.Sorting property of the  or  (see Data Sources for Reports V2). Use ReportParametersObjectBase.GetS
data/raw_md/articles/shape-export-print-data/reports/data-sorting-in-reports-v2,Data Sorting in Reports V2,data-sorting-in-reports-v2::2,"CollectionDataSource, ViewDataSource",False,True,Reports,,,,The CollectionSourceBase.Sorting property of the CollectionDataSource and ViewDataSource components specifies a list of sorting rules. You can add rules by clicking the ellipsis button next to the Sorting value in the Pr
data/raw_md/articles/shape-export-print-data/reports/data-sources-for-reports-v2,Data Sources for Reports V2,data-sources-for-reports-v2::1,XtraReport,False,True,"Reports, Reports V2",,,,The Reports V2 module supports XtraReports that utilize  and  data sources only. These two components are available in the DX: Report Controls group in the Visual Studio Toolbox.  These data sources require  to dynamical
