ticket_id,title,summary,issue,solution,doc_issue_type,gap_category,status,feedback_type,created,doc_urls,related_tickets,apis_mentioned,num_related_tickets,num_doc_urls
T1320904,TreeList - Drag information is not recalculated when the Handled property is set to true,The issue described involves the DragOver event not recalculating event arguments in the DragDropBehavior of TreeList when the Handled property is set to true. The solution is to call `e.Default` within the DragOver event to ensure that automatic calculation occurs properly in scenarios where Handled is true.,"It is not described how to properly handle the DragOver event for DragDropBehavior. The issue is that with certain implementations, the user expects that automatic calculation of event arguments for DragOver occur the next time it triggers when **Handled** event argument is set to true.","Add a note or remark that it is necessary to call `e.Default` in the DragOver event to trigger calculation again in usage scenarios where user set the Handled event argument to true. In short, call `e.Default` first before overriding event arguments as automatic calculation does not happen until after DragOver.",InsuffInfo,Quality Gap,Active,Negative,2026-02-03T01:58:48.473,['https://docs.devexpress.com/WindowsForms/118656/common-features/behaviors/drag-and-drop-behavior'],"['T1319898', 'T1320002']","['FROM', 'CLONED', 'InsertType.AsChi', 'PERSON']",2,1
T1320766,Add a New .NET XAF Module to an XAF Application | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,"The customer reported that the wizard described in the DevExpress documentation for adding a new .NET XAF Module is obsolete. They indicated that when attempting to use it in Visual Studio, an error message is displayed, and they are forced to use a new wizard that does not support the addition of a module.",,,NewFeatureIssue,True Gap,Active,Negative,2026-02-01T21:58:59.067,['https://docs.devexpress.com/eXpressAppFramework/403415/migration-to-net/add-new-net-core-xaf-module'],"['T1135330', 'T1235394', 'T1320140', 'T1235830', 'T1215993', 'T1049002', 'T1062376']",['Asp.Net'],7,1
T1318737,How to: Choose the Optimal Query Splitting Behavior in Entity Framework Core | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,"The ticket raises an issue regarding the documentation on optimal query splitting behavior in Entity Framework Core related to the `UseConnectionString()` method. The customer notes that while the approach to remove database-specific code on startup is beneficial, it also leads to concerns about its inadequacy for real-world applications. Specifically, the documentation does not provide clear instructions for reliably utilizing split query mode, which results in warning messages during startup. The customer requests improvements to the documentation to address these deficiencies.",,,UnusableFeedback,Quality Gap,Closed,PositiveWithConcerns,2026-01-12T22:23:43.467,['https://docs.devexpress.com/eXpressAppFramework/404862/business-model-design-orm/business-model-design-with-entity-framework-core/performance/how-to-choose-optimal-query-splitting-behavior'],"['T1244245', 'T1318737', 'T1284035', 'T1300955', 'T1244212', 'T1270398']","['PERSON', 'EFCore']",6,1
T1318183,XPO Extensions for ASP.NET Core Dependency Injection | XPO (.NET ORM Library) | DevExpress Documentation,This ticket contains feedback regarding the absence of a v25.2 version of the Xpo.Extensions for ASP.NET Core Dependency Injection. The customer's concern is about the documentation's lack of information on this version. They provided links to various documentation pages and also created a separate ticket for more detailed inquiries.,,,UnusableFeedback,Quality Gap,Closed,Negative,2026-01-06T11:38:43.17,['https://docs.devexpress.com/XPO/403009/connect-to-a-data-store/xpo-extensions-for-aspnet-core-di?utm_source=SupportCenter&utm_medium=website&utm_campaign=docs-feedback&utm_content=T1054062'],"['T1171508', 'T1054062', 'T1260020', 'T1318525', 'T1207696', 'T1167155', 'T1197253', 'T1277109', 'T1180574', 'T1199157', 'T1223221', 'T1226177']","['ASP.NET', 'WINForms', 'Xpo.Extensions']",12,1
T1317092,Add and Replace Icons | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,"The customer provided feedback regarding the DevExpress documentation about adding and replacing icons, stating that the information was mostly relevant for WinForms and appeared outdated. They suggested updating the content to make it more applicable for Blazor applications, where features like `ImageName` are already established. The customer requested a more structured and current approach to the article.",,,InsuffInfo,Quality Gap,Archived,PositiveWithConcerns,2025-12-18T10:34:38.183,"['https://docs.devexpress.com/eXpressAppFramework/112792/app-shell-and-base-infrastructure/icons/add-and-replace-icons', 'https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.Blazor.BlazorApplication.IconType']","['T1305594', 'T1297906', 'T1295823', 'T1302971', 'T1316399', 'T1314850', 'T1256271', 'T1300951', 'T1306784', 'T1297495']",['DevExpress.ExpressApp.Blazor.BlazorApplication.IconType'],10,2
T1315692,ObjectCaptionFormatAttribute Class - old info was lost,"The customer reported that the information from an old help topic, ""Format a Business Object Caption,"" was not transferred to the current documentation of the ""ObjectCaptionFormatAttribute Class."" The solution proposed is to add the relevant information, including screenshots and examples, from the discontinued help topic into the current documentation.","We had the following help topic, which is now discontinued: [Format a Business Object Caption](https://docs.devexpress.com/eXpressAppFramework/112752/getting-started/in-depth-tutorial-winforms-webforms/ui-customization/format-a-business-object-caption?v=22.1). Selecting a newer version redirects to [ObjectCaptionFormatAttribute Class](https://docs.devexpress.com/eXpressAppFramework/DevExpress.Persistent.Base.ObjectCaptionFormatAttribute).

However, the information from that old help topic was not moved to the current one - no screenshots and examples.",Add the information from the old help topic to the attribute's help topic.,InsuffInfo,Quality Gap,Archived,Negative,2025-12-04T14:10:47.83,"['https://docs.devexpress.com/eXpressAppFramework/112752/getting-started/in-depth-tutorial-winforms-webforms/ui-customization/format-a-business-object-caption?v=22.1', 'https://docs.devexpress.com/eXpressAppFramework/DevExpress.Persistent.Base.ObjectCaptionFormatAttribute', 'https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.Model.IModelClass.ObjectCaptionFormat']",['T1315469'],"['DevExpress.Persistent.Base.ObjectCaptionFormatAttribute', 'FROM', 'UUID', 'DevExpress.ExpressApp.Model.IModelClass.ObjectCaptionFormat', 'CLONED', 'IModelClass']",1,3
T1314402,Missing one step of the process - Implement a Property Editor Based on a Custom Component (Blazor),"Multiple customers have experienced confusion while implementing a custom control based on existing instructions for a Razor component (`InputText`). The existing help topic fails to demonstrate the necessary steps for customers creating their own Razor pages. To address this issue, two potential solutions are proposed: enhancing the current help topic with a simple demonstration of a custom Razor wrapper page, or illustrating an advanced usage scenario using a task from the XAF Blazor course that implements a custom Property Editor with a DevExtreme component. Further discussions on the organization of the help topics are recommended.","Multiple customers (not too many though) experienced an issue understanding the process of implementing a custom control while following the instructions from this help topic. The reason for that lies in the fact that the help topic's description based on an already existing Razor component (`InputText`) and relies on our inner mechanisms to tie Component Model to the Razor component's parameters.

However, that approach is not applicable when a customer creates a custom Razor page. In that case, the customer needs to specify parameters manually and tie them to the Razon control in code, which our help topic doesn't demonstrate.","1 (simple):
Enhance the help topic to implement the `InputText` control through a custom Razor wrapper page for demonstration purposes.",InsuffInfo,Quality Gap,Archived,Negative,2025-11-21T09:04:58.73,[],"['T1266895', 'T1255142', 'T1255597', 'T1288145']",['PERSON'],4,0
T1314393,You have a new 'GitHub Examples  User Feedback' response.,The customer provided feedback on a GitHub example related to importing data in DevExpress UI components. They have been using these components for over 6 years but found the example unhelpful as it did not demonstrate how to import real data by browsing for a file. Suggestions for improvement were requested.,,,UnusableFeedback,Quality Gap,Closed,Negative,2025-11-21T08:27:26.263,[],[],[],0,0
T1314388,You have a new 'GitHub Examples  User Feedback' response.,"The customer provided feedback regarding the 'WinHyperLinkStringPropertyEditor' example, stating that it does not respond to clicks while used in a nested listView. After review, it was identified that the expected behavior involves selecting a cell and double-clicking the link to follow it, which may have caused the confusion.",,,UnusableFeedback,Quality Gap,Closed,Positive,2025-11-21T08:27:24.393,[],[],[],0,0
T1313595,"Describe why  ""unsafe-inline"" in CSP is required in XAF Blazor Apps","The customer is inquiring about the necessity of using the ""unsafe-inline"" attribute in the Content Security Policy (CSP) for XAF Blazor Apps. It has been clarified that it is not possible to avoid using this attribute. A solution outlining the reasons for this requirement has been suggested, indicating that the ""unsafe-inline"" style source is necessary for proper functionality within these applications.",The customer doesn't understand whether it is possible to avoid using this attribute (not possible),"Write a section similar to this one:
[Why unsafe-inline Style Source is Required](https://docs.devexpress.com/Blazor/403487/security-considerations/content-security-policy#why-unsafe-inline-style-source-is-required)

Contact <PERSON> R for any questions",InsuffInfo,Quality Gap,Archived,Negative,2025-11-13T07:57:55.073,['https://docs.devexpress.com/Blazor/403487/security-considerations/content-security-policy#why-unsafe-inline-style-source-is-required'],['T1313471'],"['FROM', 'PERSON', 'CLONED']",1,1
