ticket_id,title,priority_score,gap_category,status,roadmap_aligned,num_roadmap_matches,roadmap_matches,num_related_tickets,num_doc_urls
T1303785,View Variants (Switch Document Layouts) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,810,Quality Gap,Closed,True,7,"['Simplified Blazor project format with no Startup.cs', 'EF Core 10 Support', 'Blazor Model Editor', 'XAF AI Module', 'Blazor Reports - Add and Customize ViewDataSource in Report Designer', 'Performance - Simplified Blazor Components', 'Fluent UI Icon and Layout Updates in XAF WinForms']",9,1
T1309586,Improve BlazorControlViewItem help topic,710,Quality Gap,Archived,True,7,"['Editors', 'Simplified Blazor project format with no Startup.cs', 'EF Core 10 Support', 'Blazor Model Editor', 'XAF AI Module', 'Blazor Reports - Add and Customize ViewDataSource in Report Designer', 'Performance - Simplified Blazor Components']",0,2
T1317092,Add and Replace Icons | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,700,Quality Gap,Archived,True,6,"['WinForms Filter Editor - Dynamic Expressions', 'Simplified Blazor project format with no Startup.cs', 'Blazor Model Editor', 'Blazor Reports - Add and Customize ViewDataSource in Report Designer', 'Performance - Simplified Blazor Components', 'Fluent UI Icon and Layout Updates in XAF WinForms']",10,2
T1309299,Readme of the 'sequential generator' example is outdated,650,True Gap,Archived,True,6,"['Simplified Blazor project format with no Startup.cs', 'EF Core 10 Support', 'XAF AI Module', 'Blazor Model Editor', 'Blazor Reports - Add and Customize ViewDataSource in Report Designer', 'Performance - Simplified Blazor Components']",1,0
T1314402,Missing one step of the process - Implement a Property Editor Based on a Custom Component (Blazor),650,Quality Gap,Archived,True,6,"['Editors', 'Simplified Blazor project format with no Startup.cs', 'XAF AI Module', 'Blazor Model Editor', 'Blazor Reports - Add and Customize ViewDataSource in Report Designer', 'Performance - Simplified Blazor Components']",4,0
T1286784,"FROM PM: Add a note about Visual Studio code style settings, which lead to runtime errors",620,Quality Gap,Archived,True,6,"['WinForms Filter Editor - Dynamic Expressions', 'EF Core 10 Support', 'XAF AI Module', 'Blazor Reports - Add and Customize ViewDataSource in Report Designer', 'Performance - Simplified Blazor Components', 'Fluent UI Icon and Layout Updates in XAF WinForms']",1,4
T1311731,Custom EasyTest Commands | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,610,Quality Gap,Archived,True,5,"['Simplified Blazor project format with no Startup.cs', 'EF Core 10 Support', 'Blazor Model Editor', 'Blazor Reports - Add and Customize ViewDataSource in Report Designer', 'Performance - Simplified Blazor Components']",10,1
T1313595,"Describe why  ""unsafe-inline"" in CSP is required in XAF Blazor Apps",520,Quality Gap,Archived,True,5,"['Simplified Blazor project format with no Startup.cs', 'Blazor Model Editor', 'CSP - Remove style-src: unsafe-inline requirement', 'Blazor Reports - Add and Customize ViewDataSource in Report Designer', 'Performance - Simplified Blazor Components']",1,1
T1313180,"The translation dialog appears in browser, as the language is changed several seconds after app loading",520,Quality Gap,Archived,True,5,"['Simplified Blazor project format with no Startup.cs', 'Blazor Model Editor', 'Blazor Reports - Add and Customize ViewDataSource in Report Designer', 'Performance - Simplified Blazor Components', 'XAF Integration with DevExpress Localization Tool']",1,1
T1285906,OAuth and Custom Authentication - a crucial aspect is not emphasized,520,Quality Gap,Archived,True,5,"['WinForms Filter Editor - Dynamic Expressions', 'EF Core 10 Support', 'XAF AI Module', 'CSP - Remove style-src: unsafe-inline requirement', 'Fluent UI Icon and Layout Updates in XAF WinForms']",1,1
