category,feature,covered,mapped_concepts
AI,AI,no,
Application Model,Application Model,yes,xaf.architecture.core.xaf-application; xaf.architecture.application-model.application-model; xaf.architecture.application-model.model-extension; xaf.architecture.application-model.model-differences; xaf.architecture.application-model.model-cache; xaf.architecture.core.enterprise-features; xaf.security.core.middle-tier; xaf.data.business-model.business-object; xaf.data.business-model.non-persistent-object; xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.orm.xpo; xaf.data.orm.ef-core; xaf.ops.deployment.deployment; xaf.ops.logging.logging; xaf.quality.testing.testing; xaf.tooling.model-editor.model-editor; xaf.localization.localization.localization-basics; xaf.localization.localization.localization-tool; xaf.ui.views.detail-view; xaf.ui.views.list-view; xaf.ui.views.dashboard-view; xaf.ui.views.view-variants; xaf.ui.editors.property-editors; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.ui.templates.application-templates; xaf.tooling.model-editor.model-editor-extensibility; xaf.data.business-model.orm-designer
Application Model,"Cache (ModelAssembly, EnableModelCache)",yes,xaf.architecture.application-model.model-cache
Application Model,Default and Custom Attributes to Customize Model,yes,xaf.architecture.application-model.model-extension; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.ui.layout.layout-runtime-customization
Application Model,Model Difference Storages,yes,xaf.architecture.application-model.application-model; xaf.architecture.application-model.model-differences; xaf.ui.views.view-variants
Application Model,Model Editor,yes,xaf.architecture.application-model.application-model; xaf.architecture.application-model.model-extension; xaf.architecture.application-model.model-differences; xaf.architecture.application-model.model-cache; xaf.data.business-model.business-object; xaf.data.business-model.non-persistent-object; xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.orm.xpo; xaf.data.orm.ef-core; xaf.tooling.model-editor.model-editor; xaf.localization.localization.localization-basics; xaf.localization.localization.localization-tool; xaf.ui.views.views; xaf.ui.views.detail-view; xaf.ui.views.list-view; xaf.ui.views.dashboard-view; xaf.ui.views.view-variants; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.views.office-module; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.editors.lookup-editors; xaf.ui.editors.specialized-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items; xaf.data.business-model.orm-designer
Application Model,"Read, Customize, or Extend the Application Model",yes,xaf.architecture.application-model.model-extension
Audit Trail Module,Audit Trail Module,yes,xaf.security.auditing.audit-trail
Audit Trail Module,Audit History in the UI,yes,xaf.security.auditing.audit-trail
Audit Trail Module,Audit in Non-XAF Apps,yes,xaf.security.core.security-system; xaf.security.auditing.audit-trail; xaf.data.object-space.business-logic; xaf.data.properties.file-attachments; xaf.localization.localization.localization-basics; xaf.architecture.modules.web-api-service
Audit Trail Module,Custom Operations and Other Storage Classes,yes,xaf.security.auditing.audit-trail
