ticket_id,title,type,status,feedback_type,created,concept_count,concepts
T1320997,Queryable Mode - invalid and outdated info,InvalidInfo,Closed,Negative,2026-02-03T16:01:15.19,66,"Blazor, WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Authentication, Application Model, Views, Property Editors, List Editors, Layout, .NET Runtime, XAF Application, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Tree Node Interface, Database Update, View Types, List View, List View Data Access Modes, Detail View, Dashboard View, Lookup View, View Items, Static View Items, Dashboard View Items, Action Container View Items, View Customization, Master-Detail Views, Nested Views, View Variants, View Lifecycle, Layout Generation, Layout Runtime Customization, Popup Windows, Tree List, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Property Editor Customization, Property Editor Features, Filtering UI, Spreadsheet Control, Validation, PivotGrid, Clone Object, Office Module, Performance Optimization"
T1320904,TreeList - Drag information is not recalculated when the Handled property is set to true,InsuffInfo,Active,Negative,2026-02-03T01:58:48.473,25,"WinForms, List Editors, Collection Property, Reference Property, Calculated Property, Property Metadata, Tree List, Controller Types, View Controller, Generic View Controllers, Object View Controllers, Window Controller, Dialog Controller, Controller Activation, Target Properties, Controller Lifecycle, Built-in Controllers, CRUD Controllers, List View Controllers, Controller Customization, Tabbed MDI Interface, Conditional Appearance, State Machine, Tenant, Threading Issues"
T1320766,Add a New .NET XAF Module to an XAF Application | XAF: Cross-Platform .NET App UI & Web API | DevExp,NewFeatureIssue,Active,Negative,2026-02-01T21:58:59.067,20,"Blazor, WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Views, .NET Runtime, XAF Application, Modules, Model Extension, Object Space Provider, View Variants, Controller Customization, Reports, Legacy .NET Framework, Migration, Project Wizards"
T1319820,Mail Merge - missing crucial XAF Blazor details,InsuffInfo,Closed,Negative,2026-01-21T15:24:27.97,61,"Blazor, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Application Model, Views, Property Editors, Layout, Model Extension, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, View Types, List View, List View Data Access Modes, Detail View, Dashboard View, Lookup View, View Items, Static View Items, Dashboard View Items, Action Container View Items, View Customization, Master-Detail Views, Nested Views, View Variants, View Lifecycle, Layout Generation, Layout Runtime Customization, Popup Windows, Standard Property Editors, Specialized Property Editors, Controller Types, Controller Customization, Filtering UI, Spreadsheet Control, Actions, Validation, Mail Merge, PivotGrid, Clone Object, Office Module, Tenant, Threading Issues, Legacy .NET Framework"
T1319293,Incorrect info about Standalone Model Editor in Blazor,InvalidInfo,Closed,Negative,2026-01-16T05:36:34.65,60,"Blazor, WinForms, Entity Framework Core, XPO, Business Object, Business Logic, Application Model, Views, Property Editors, Layout, Modules, Model Nodes, Model Editor, Model Differences, Model Cache, ApplicationBuilder, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Property Metadata, View Types, List View, List View Data Access Modes, Detail View, Dashboard View, Lookup View, View Items, Static View Items, Dashboard View Items, Action Container View Items, View Customization, Master-Detail Views, Nested Views, View Variants, View Lifecycle, Layout Generation, Layout Runtime Customization, Popup Windows, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Controller Types, View Controller, Generic View Controllers, Object View Controllers, Window Controller, Dialog Controller, Controller Activation, Target Properties, Controller Customization, Tabbed MDI Interface, Action Types, Simple Action, Parametrized Action, Popup Window Show Action, Single Choice Action, File Attachments"
T1318737,How to: Choose the Optimal Query Splitting Behavior in Entity Framework Core | XAF: Cross-Platform .,UnusableFeedback,Closed,PositiveWithConcerns,2026-01-12T22:23:43.467,55,"Blazor, WinForms, Web API Service, Entity Framework Core, XPO, Business Object, Business Logic, Security System, Authentication, Authorization, Views, List Editors, XAF Application, Model Extension, Model Cache, Middle Tier, Async Operations, Object Space Provider, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Criteria, Built-in Criteria Operators, Custom Criteria Functions, View Types, List View, List View Data Access Modes, View Variants, Tree List, Controller Types, View Controller, Generic View Controllers, Object View Controllers, Window Controller, Dialog Controller, Controller Activation, Target Properties, Controller Lifecycle, Built-in Controllers, CRUD Controllers, List View Controllers, Controller Customization, Filtering UI, Security Strategy, Custom User Management, Permission Policies, Audit Trail, Conditional Appearance, State Machine, Tenant, Threading Issues, Performance Optimization, Memory Management, Scaling Architecture"
T1318183,XPO Extensions for ASP.NET Core Dependency Injection | XPO (.NET ORM Library) | DevExpress Documenta,UnusableFeedback,Closed,Negative,2026-01-06T11:38:43.17,43,"Blazor, WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Views, List Editors, .NET Runtime, XAF Application, Dependency Injection, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, Inline Editing, Tree List, Collection Property Editors, Controller Types, Controller Customization, Tabbed MDI Interface, Filtering UI, Spreadsheet Control, Action State Management, Validation, State Machine, PivotGrid, Clone Object, Threading Issues"
T1317879,You have a new 'GitHub Examples  User Feedback' response.,PositiveFeedback,Closed,Positive,2025-12-30T12:01:09.927,50,"Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Authorization, Application Model, Views, Layout, Model Nodes, Model Editor, Model Differences, Model Extension, Model Cache, ApplicationBuilder, Object Space Provider, Database Connection, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Database Update, View Types, List View, List View Data Access Modes, Detail View, Dashboard View, Lookup View, View Items, Static View Items, Dashboard View Items, Action Container View Items, View Customization, Master-Detail Views, Nested Views, View Variants, View Lifecycle, Layout Generation, Layout Runtime Customization, Popup Windows, Lookup Property Editors, Controller Activation, Target Properties, Controller Customization, Permission Policies, Clone Object, Tenant, Threading Issues"
T1317180,How to: Perform CRUD Operations with Non-Persistent Objects | XAF: Cross-Platform .NET App UI & Web ,InsuffCode,Closed,PositiveWithConcerns,2025-12-18T22:04:37.47,35,"Blazor, WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Views, Property Editors, List Editors, Controllers and Actions, Layout, XAF Application, Model Extension, Object Space Provider, Object Relationships, Business Object Lifecycle, Criteria, View Types, List View, Detail View, Lookup View, Layout Generation, Layout Runtime Customization, Lookup Property Editors, Object View Controllers, CRUD Controllers, Tabbed MDI Interface, Accordion Control, Navigation, Actions, Action Containers, Conditional Appearance, Memory Management"
T1317104,"When is the function ""UpdateDatabaseAfterUpdateSchema"" invoked",InsuffInfo,Closed,Negative,2025-12-18T10:57:32.413,18,"Blazor, Web API Service, Entity Framework Core, XPO, Business Logic, XAF Application, Model Extension, Middle Tier, Object Space Provider, Database Update, View Variants, Built-in Controllers, CRUD Controllers, List View Controllers, Built-in Actions, Deployment, Logging, Diagnostic Tools"
